popt,pcov
[0.01656817 1.58676168 0.15768882],"[[ 2.18161190e-07 -5.22653028e-09 -1.39414894e-06]
 [-5.22653028e-09  2.63190398e-05  1.15108835e-07]
 [-1.39414894e-06  1.15108835e-07  2.65798303e-05]]"
[0.01547419 1.46517245 0.1614271 ],"[[ 2.24827493e-07 -1.57324296e-10 -1.56389901e-06]
 [-1.57324296e-10  3.26179607e-05  3.59802814e-09]
 [-1.56389901e-06  3.59802814e-09  3.26288530e-05]]"
[ 0.01513381  1.37137492 -0.16412645],"[[ 1.68673953e-07 -3.99042461e-12  1.21958568e-06]
 [-3.99042461e-12  2.64538392e-05 -9.45228128e-11]
 [ 1.21958568e-06 -9.45228128e-11  2.64541832e-05]]"
[ 0.01554194  1.27381815 -0.1543714 ],"[[1.98746896e-07 1.59758674e-13 1.31611918e-06]
 [1.59758674e-13 2.61463646e-05 1.54357822e-12]
 [1.31611918e-06 1.54357822e-12 2.61463654e-05]]"
[ 0.01549089  1.20306907 -0.15598673],"[[1.73816803e-07 1.34158071e-13 1.16687401e-06]
 [1.34158071e-13 2.35005174e-05 1.34664003e-12]
 [1.16687401e-06 1.34664003e-12 2.35005173e-05]]"
[ 0.01442812  1.13155871 -0.17123019],"[[1.03806119e-07 8.08783986e-14 8.21328945e-07]
 [8.08783986e-14 1.94954177e-05 9.60509701e-13]
 [8.21328945e-07 9.60509701e-13 1.94954178e-05]]"
[ 0.01352509  1.06027678 -0.18719111],"[[4.34840571e-08 3.35130476e-14 4.01220288e-07]
 [3.35130476e-14 1.11059819e-05 4.62871436e-13]
 [4.01220288e-07 4.62871436e-13 1.11059819e-05]]"
[ 0.01278934  1.02228981 -0.20306105],"[[1.80519014e-08 1.44270607e-14 1.91080401e-07]
 [1.44270607e-14 6.06779049e-06 2.24286698e-13]
 [1.91080401e-07 2.24286698e-13 6.06779053e-06]]"
[ 0.01251813  1.00653651 -0.20950774],"[[6.22343018e-09 5.03402579e-15 6.94371696e-08]
 [5.03402579e-15 2.32421033e-06 8.41767874e-14]
 [6.94371696e-08 8.41767874e-14 2.32421041e-06]]"
[ 0.01282238  1.0024599  -0.20385791],"[[5.81480943e-09 4.38517901e-15 6.16317074e-08]
 [4.38517901e-15 1.95972061e-06 6.89147144e-14]
 [6.16317074e-08 6.89147144e-14 1.95972061e-06]]"
[ 0.01363973  0.99612722 -0.1897777 ],"[[5.00844198e-09 3.65754080e-15 4.64565994e-08]
 [3.65754080e-15 1.29274670e-06 5.09898626e-14]
 [4.64565994e-08 5.09898626e-14 1.29274669e-06]]"
[ 0.01444798  0.99789048 -0.17894446],"[[5.51789037e-09 3.77318936e-15 4.55606414e-08]
 [3.77318936e-15 1.12856829e-06 4.66902729e-14]
 [4.55606414e-08 4.66902729e-14 1.12856828e-06]]"
[ 0.01515615  0.99626733 -0.17061757],"[[5.44101468e-09 3.51371691e-15 4.08343978e-08]
 [3.51371691e-15 9.19377051e-07 3.96588201e-14]
 [4.08343978e-08 3.96588201e-14 9.19377057e-07]]"
[0.01635382 0.99610269 0.1580071 ],"[[ 4.23919144e-09  2.52211565e-15 -2.73057226e-08]
 [ 2.52211565e-15  5.27649559e-07 -2.49071965e-14]
 [-2.73057226e-08 -2.49071965e-14  5.27649557e-07]]"
[0.01805809 0.99432026 0.1430449 ],"[[ 4.90159619e-09  2.67901137e-15 -2.58849770e-08]
 [ 2.67901137e-15  4.10090115e-07 -2.10595952e-14]
 [-2.58849770e-08 -2.10595952e-14  4.10090110e-07]]"
[0.01987704 0.9947424  0.13013297],"[[ 5.65005019e-09  2.81104397e-15 -2.46602454e-08]
 [ 2.81104397e-15  3.22896799e-07 -1.85134718e-14]
 [-2.46602454e-08 -1.85134718e-14  3.22896799e-07]]"
[0.02172868 0.99428254 0.1190469 ],"[[ 6.07017263e-09  2.73857611e-15 -2.21716092e-08]
 [ 2.73857611e-15  2.42948738e-07 -1.52272771e-14]
 [-2.21716092e-08 -1.52272771e-14  2.42948738e-07]]"
[0.02423066 0.99512486 0.10646212],"[[ 7.77467952e-09  3.16343956e-15 -2.27731433e-08]
 [ 3.16343956e-15  2.00117341e-07 -1.39768162e-14]
 [-2.27731433e-08 -1.39768162e-14  2.00117341e-07]]"
[0.02707796 0.99641412 0.09508943],"[[ 9.52264453e-09  3.44895171e-15 -2.22938235e-08]
 [ 3.44895171e-15  1.56578744e-07 -1.18886014e-14]
 [-2.22938235e-08 -1.18886014e-14  1.56578745e-07]]"
