popt,pcov
[0.00553593 1.02929938 0.50316931],"[[ 7.47727566e-08 -7.16897165e-08 -5.15142399e-06]
 [-7.16897165e-08  8.24680816e-04  1.80209031e-05]
 [-5.15142399e-06  1.80209031e-05  9.79795630e-04]]"
[0.00583772 1.04146155 0.47232528],"[[ 8.22405219e-08 -7.40393998e-08 -4.84924780e-06]
 [-7.40393998e-08  7.16148494e-04  1.58890329e-05]
 [-4.84924780e-06  1.58890329e-05  8.07660956e-04]]"
[0.00573551 1.04967412 0.4802104 ],"[[ 6.24201763e-08 -7.58818200e-08 -3.84936683e-06]
 [-7.58818200e-08  5.82928745e-04  1.70600079e-05]
 [-3.84936683e-06  1.70600079e-05  6.66498842e-04]]"
[0.00609532 1.10608573 0.44702574],"[[ 6.52856688e-08 -1.06518229e-07 -3.43382231e-06]
 [-1.06518229e-07  4.68527292e-04  2.03885060e-05]
 [-3.43382231e-06  2.03885060e-05  5.16159943e-04]]"
[0.00592639 1.03054729 0.46674492],"[[ 6.13979159e-08 -3.71436849e-08 -3.49797947e-06]
 [-3.71436849e-08  5.06181631e-04  7.69032026e-06]
 [-3.49797947e-06  7.69032026e-06  5.65354229e-04]]"
[ 0.00685934  1.05842873 -0.38717628],"[[ 3.67504708e-08 -8.56843003e-09  1.40979488e-06]
 [-8.56843003e-09  1.55674729e-04 -1.15987824e-06]
 [ 1.40979488e-06 -1.15987824e-06  1.59880284e-04]]"
[ 0.00792556  1.05558788 -0.325251  ],"[[ 2.92700891e-08 -6.62314088e-10  8.02702131e-07]
 [-6.62314088e-10  6.56923475e-05 -6.14778798e-08]
 [ 8.02702131e-07 -6.14778798e-08  6.59113443e-05]]"
[ 0.00872681  1.03653426 -0.29519085],"[[ 3.53300025e-08 -8.43367307e-11  7.97030801e-07]
 [-8.43367307e-11  5.38949621e-05 -6.29140325e-09]
 [ 7.97030801e-07 -6.29140325e-09  5.39243632e-05]]"
[ 0.00944751  1.02610394 -0.27388502],"[[ 2.85137731e-08 -8.76504965e-12  5.51105802e-07]
 [-8.76504965e-12  3.19496037e-05 -5.52714674e-10]
 [ 5.51105802e-07 -5.52714674e-10  3.19528441e-05]]"
[ 0.00996826  1.02730693 -0.26347954],"[[ 3.81770900e-08 -4.56686160e-12  6.72750903e-07]
 [-4.56686160e-12  3.55629857e-05 -2.61613071e-10]
 [ 6.72750903e-07 -2.61613071e-10  3.55644437e-05]]"
[ 0.01172519  1.01115569 -0.21774726],"[[3.27447342e-08 2.49663144e-14 4.05403507e-07]
 [2.49663144e-14 1.50575641e-05 3.97487960e-13]
 [4.05403507e-07 3.97487960e-13 1.50575654e-05]]"
[ 0.01186184  1.00985084 -0.21968233],"[[3.42640917e-08 2.51137247e-14 4.23053168e-07]
 [2.51137247e-14 1.56701028e-05 3.83454257e-13]
 [4.23053168e-07 3.83454257e-13 1.56701046e-05]]"
